Item,Mean_nocontext,YMin_nocontext,YMax_nocontext,Mean_context,CILow,CIHigh,YMin_context,YMax_context
161396:28,4.5,3.6,5.4,3,1,1.0999999999999996,2,4.1
161487:13,3,1.8,4.202499999999998,3.3,1.4,1.2999999999999998,1.9,4.6
161619:23,2.3,1.5,3.102499999999998,2.3,0.6999999999999997,0.7000000000000002,1.6,3
161653:6,5,3.9,6,5.5,1.2999999999999998,1,4.2,6.5
161668:20,5,4.4,5.6,5.4,1.2025000000000006,1,4.1975,6.4
162002:32,4.1,3.1,5.2,3.5,1.0025,1.2000000000000002,2.4975,4.7
16209:29,2.2,1.4,3.0024999999999977,2.5,0.8,1,1.7,3.5
16212:24,2.6,1.5,3.9,2.6,0.9000000000000001,1,1.7,3.6
16220:4,5.9,4.6,6.9,5.4,0.9024999999999999,0.7999999999999998,4.4975000000000005,6.2
162249:54,4.8,3.7,5.9,4.4,1.1000000000000005,1,3.3,5.4
162314:57,2.1,1,3.7,2.4,0.7999999999999998,0.9024999999999976,1.6,3.3024999999999975
163122:31,4,2.8,5.3024999999999975,2.5,0.8999999999999999,1.1,1.6,3.6
16318:47,4.2,3,5.3,2.9,1.0999999999999999,1.3000000000000003,1.8,4.2
163188:16,2.6,1.7,3.5,3.2,0.9000000000000004,1.2000000000000002,2.3,4.4
16319:19,3.8,2.5,5.1,3.9,1,1.0000000000000004,2.9,4.9
163234:34,5.5,4.7,6.3,6.2,0.6000000000000005,0.5999999999999996,5.6,6.8
163289:195,2.4,1.6,3.5,2.8,1.4,1.7000000000000002,1.4,4.5
163367:85,1.6,1.1,2.5,2.2,1.0000000000000002,1.1024999999999974,1.2,3.3024999999999975
163414:55,3.6,2.5,4.8,4.3,1.1999999999999997,1.202499999999998,3.1,5.502499999999998
16349:60,5.4,4.3,6.4,5.5,0.9000000000000004,0.7024999999999979,4.6,6.202499999999998
163528:86,3.8,2.5,5.1,2.8,1.1999999999999997,1.2999999999999998,1.6,4.1
163703:15,5.3,4,6.3,5.8,0.7000000000000002,0.6000000000000005,5.1,6.4
1638:23,3.3,2.1,4.6,3.3,0.7999999999999998,0.9000000000000004,2.5,4.2
164038:17,2.1,1.3,3,2.1,0.6000000000000001,0.6000000000000001,1.5,2.7
164050:47,3.5,2.2,4.9,4.6,1.0999999999999996,1,3.5,5.6
164073:37,2.8,1.7,4.2,1.7,0.5999999999999999,0.7,1.1,2.4
164075:14,2.6,1.7,3.5024999999999977,2.1,0.6000000000000001,0.7999999999999998,1.5,2.9
164091:22,3.8,2.3,5.2,2.5,0.7,0.7999999999999998,1.8,3.3
164095:28,3.4,2.2,4.7,3,0.8024999999999998,1,2.1975000000000002,4
164110:55,3.6,2.4975,4.8,3.5,1.1,1.0999999999999996,2.4,4.6
16415:5,4.5,3.2975000000000003,5.8,5.3,1,0.9000000000000004,4.3,6.2
